system:time_start,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,nflh,poc,sst
"Nov 11, 2020",-0,0,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,14.699,0.128,"2,851.711",26.549
"Nov 18, 2020",-0,0.001,0.002,0.002,0.004,0.004,0.003,0.001,0.001,0.001,17.356,0.101,"2,525.178",26.514
"Nov 25, 2020",-0,0.001,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,13.185,0.125,"2,758.147",26.613
"Dec 2, 2020",-0,0,0.001,0.002,0.003,0.003,0.002,0.001,0.001,0.001,14.254,0.134,"2,085.947",26.266
"Dec 9, 2020",-0.001,0,0.002,0.002,0.004,0.004,0.003,0.002,0.001,0.001,22.595,0.124,"3,840.932",26.16
"Dec 16, 2020",-0.001,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,18.626,0.151,"3,002.44",25.934
"Dec 23, 2020",-0.001,0,0.002,0.002,0.004,0.004,0.003,0.002,0.001,0.001,23.084,0.12,"2,331.676",26.21
"Dec 30, 2020",-0,0.001,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,12.573,0.205,"2,463.546",26.065
"Jan 6, 2021",-0.001,0,0.001,0.001,0.003,0.003,0.002,0.001,0.001,0.001,21.522,0.149,"3,512.096",26.333
"Jan 13, 2021",-0.002,0,0.002,0.003,0.006,0.006,0.006,0.004,0.003,0.003,21.657,0.06,"5,649.2",25.871
"Jan 20, 2021",-0.001,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,28.201,0.2,"5,020.245",25.81
"Jan 27, 2021",-0.001,0,0.002,0.002,0.004,0.004,0.004,0.001,0.001,0.001,27.391,0.126,"5,806.616",26.26
"Feb 3, 2021",-0.002,-0,0.001,0.002,0.004,0.004,0.004,0.002,0.002,0.002,38.951,0.186,"6,365.453",25.68
"Feb 10, 2021",-0,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001,10.457,0.064,"1,798.886",26.446
"Feb 17, 2021",,,,,,,,,,,,,,25.59
"Feb 24, 2021",-0.001,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,19.103,0.115,"2,748.446",25.998
"Mar 3, 2021",-0.001,0,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001,11.973,0.112,"3,215.802",25.957
"Mar 10, 2021",-0.002,-0,0.001,0.001,0.003,0.003,0.003,0.001,0.001,0.001,30.746,0.133,"5,300.693",25.809
"Mar 17, 2021",-0.001,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,22.305,0.075,"3,069.203",26.747
"Mar 24, 2021",-0.001,0,0.002,0.002,0.004,0.004,0.004,0.002,0.001,0.001,20.101,0.075,"4,775.064",26.402
"Mar 31, 2021",-0.001,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,14.563,0.156,"6,247.512",26.531
"Apr 7, 2021",-0.001,-0,0.001,0.001,0.003,0.003,0.003,0.001,0.001,0.001,32.611,0.146,"5,825.89",26.519
"Apr 14, 2021",-0.001,-0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,24.237,0.201,"7,331.568",26.099
"Apr 21, 2021",-0.001,-0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,19.715,0.17,"3,536.692",26.413
"Apr 28, 2021",-0.001,0,0.001,0.002,0.003,0.004,0.003,0.001,0.001,0.001,17.884,0.176,"6,024.459",26.521
"May 5, 2021",0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,7.672,0.124,925.501,27.072
"May 12, 2021",-0,0,0.001,0.002,0.003,0.003,0.002,0.001,0.001,0.001,13.2,0.126,"1,388.423",26.379
"May 19, 2021",-0.001,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,22.141,0.132,"4,796.789",25.979
"May 26, 2021",-0.001,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,25.284,0.18,"4,773.754",25.677
"Jun 2, 2021",-0.001,-0,0.001,0.001,0.003,0.003,0.002,0.001,0.001,0.001,26.817,0.183,"7,087.948",25.721
"Jun 9, 2021",-0.001,-0,0.001,0.001,0.003,0.003,0.003,0.001,0.001,0.001,30.416,0.157,"9,406.9",25.226
"Jun 16, 2021",-0.002,-0.001,0,0.001,0.003,0.003,0.002,0.001,0.001,0.001,37.472,0.112,"7,912.132",25.053
"Jun 23, 2021",-0.001,-0,0.001,0.001,0.003,0.003,0.002,0.001,0.001,0.001,45.517,0.139,"8,172.702",25.164
"Jun 30, 2021",-0.002,-0.001,0.001,0.001,0.003,0.003,0.003,0.002,0.001,0.001,37.727,0.154,"9,477.68",25.457
"Aug 4, 2021",-0.002,-0.001,0.001,0.002,0.004,0.004,0.004,0.002,0.001,0.001,39.266,0.161,"4,733.8",25.163
"Aug 11, 2021",-0.001,-0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,27.662,0.238,"3,837.27",24.851
"Aug 18, 2021",-0.001,-0,0.001,0.002,0.004,0.004,0.003,0.001,0.001,0.001,28.848,0.184,"7,038.778",25.343
"Aug 25, 2021",-0.001,-0,0.001,0.001,0.003,0.003,0.002,0.001,0.001,0.001,29.245,0.084,"6,035.219",25.619
"Sep 1, 2021",-0,0,0.002,0.002,0.004,0.004,0.004,0.002,0.001,0.001,21.447,0.114,"4,948.733",25.27
"Sep 8, 2021",0.002,0.001,0.002,0.002,0.003,0.003,0.002,0.001,0.001,0.001,5.729,,377.62,25.265
"Sep 15, 2021",0.001,0.001,0.002,0.003,0.005,0.006,0.005,0.002,0.002,0.002,31.773,0.04,"2,315.736",25.628
"Sep 22, 2021",-0.001,0,0.001,0.002,0.003,0.004,0.003,0.001,0.001,0.001,24.959,0.145,"5,090.515",25.503
"Sep 29, 2021",-0,0,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,17.991,0.071,"3,168.323",25.547
"Oct 6, 2021",-0,0,0.002,0.002,0.004,0.004,0.004,0.001,0.001,0.001,21.356,0.048,"3,580.968",25.845
"Oct 13, 2021",-0.001,-0,0.001,0.002,0.004,0.005,0.004,0.002,0.002,0.002,41.191,0.082,"5,982.236",26.269
"Oct 20, 2021",0.001,0.002,0.003,0.003,0.004,0.005,0.004,0.002,0.001,0.001,16.347,0.047,976.049,26.579
"Oct 27, 2021",0.001,0.001,0.002,0.003,0.004,0.005,0.004,0.002,0.002,0.002,20.184,0.076,"2,605.318",26.585
"Nov 3, 2021",-0.001,-0,0.001,0.002,0.003,0.004,0.003,0.002,0.002,0.002,30.819,0.116,"6,181.297",26.143
"Nov 10, 2021",-0,0,0.002,0.002,0.004,0.004,0.004,0.002,0.001,0.001,21.981,0.067,"3,450.392",26.509
"Nov 17, 2021",0,0.001,0.002,0.002,0.005,0.005,0.005,0.002,0.002,0.002,27.364,0.057,"3,771.521",26.605
"Nov 24, 2021",-0,0,0.001,0.002,0.003,0.003,0.002,0.001,0.001,0.001,10.29,0.152,"4,866.291",26.283
"Dec 1, 2021",-0,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,21.456,0.134,"5,344.479",26.29
"Dec 8, 2021",-0,0,0.002,0.002,0.004,0.004,0.003,0.002,0.001,0.001,18.422,0.14,"5,554.338",26.476
"Dec 15, 2021",-0,0,0.002,0.002,0.004,0.004,0.004,0.002,0.001,0.001,18.493,0.11,"3,340.474",26.557
"Dec 22, 2021",0,0.001,0.002,0.002,0.004,0.004,0.004,0.001,0.001,0.001,13.576,0.06,"1,575.923",26.594
